id,Opening_code,opening_name,Opening_moves
gxBBQo24,D32,Tarrasch Defense: Symmetrical Variation,10
ZarnanH1,B20,Sicilian Defense,2
InWuw2Ba,A40,Horwitz Defense,2
rzfR3R5d,D20,Queen's Gambit Accepted: Old Variation,5
euwMMEPI,B20,Sicilian Defense: Staunton-Cochrane Variation,3
eLIDnsgG,E61,King's Indian Defense: Smyslov Variation,9
2QKPNPHo,B44,Sicilian Defense: Paulsen Variation,8
DOhsVgkT,E60,King's Indian Defense: Normal Variation |  King's Knight Variation,5
FM7uLKUI,C00,French Defense: Normal Variation,3
HnxI2xg2,E30,Nimzo-Indian Defense: Leningrad Variation,7
p0lrJ1TW,B44,Sicilian Defense: Paulsen Variation,8
xyGqkDNm,B07,Pirc Defense #2,5
9wVYDTBo,D20,Queen's Gambit Accepted: Old Variation,5
nR4EyupL,B40,Sicilian Defense: Delayed Alapin Variation,5
ATY0xlVI,B08,Pirc Defense: Classical Variation,8
KLLKC9sJ,D06,Queen's Gambit Refused: Marshall Defense,4
AoUfWLhq,B22,Sicilian Defense: Alapin Variation,3
OqNrv5mw,A43,Old Benoni Defense #2,3
y4HO08lL,B82,Sicilian Defense: Scheveningen Variation |  Matanovic Attack,11
MQYr3Rd7,A56,Benoni Defense: Czech Benoni Defense,6
rtgXRSz8,D30,Queen's Gambit Declined: Tarrasch Defense |  Pseudo-Tarrasch,6
XSAl5MSH,A40,Horwitz Defense,2
qM1QpX4A,A15,English Opening: Anglo-Indian Defense,2
tb2Jplwl,A15,English Opening: Anglo-Indian Defense,2
uXVbFIhU,E32,Nimzo-Indian Defense: Classical Variation,7
BCNF8Rc0,D08,Queen's Gambit Refused: Albin Countergambit,4
lpURdjaK,A60,Benoni Defense: Modern Variation |  Snake Variation,10
oksFLREg,D81,Gruenfeld Defense: Russian Variation |  Accelerated Variation,7
fSTU89og,A08,King's Indian Attack,4
DNhhypWP,B40,Sicilian Defense: French Variation,4
NZI8SX2z,A07,King's Indian Attack,3
qhkgQa5y,D85,Gruenfeld Defense: Exchange Variation,8
iyNN4P89,D02,Queen's Pawn Game: Symmetrical Variation |  Pseudo-Catalan,5
cWabwXyt,A05,King's Indian Attack: Symmetrical Defense,4
5mKbvFmB,D10,Slav Defense #3,6
Pf0oAB2m,A08,King's Indian Attack,4
iWBWnlpJ,C50,Italian Game: Giuoco Pianissimo |  Normal,8
wBHJChqC,B20,Sicilian Defense: Staunton-Cochrane Variation,3
6cPfBMPG,C46,Three Knights Opening,5
X5F1wUsp,B30,Sicilian Defense: Old Sicilian,4
CLf8nksK,C40,Elephant Gambit,4
BZLbNfm4,B40,Sicilian Defense: French Variation,4
IXPo5wAU,C42,Russian Game: French Attack,9
t4Ya9dT7,B30,Sicilian Defense: Old Sicilian,4
LHv8sr8L,A35,English Opening: Symmetrical Variation |  Two Knights Variation,4
6TqREvyt,A16,English Opening: Anglo-Gruenfeld Defense,4
EiPi19Vd,C41,Philidor Defense #2,4
c1M95833,A40,Modern Defense,2
wvq16CUZ,A10,English Opening: Anglo-Scandinavian Defense,2
6dqjczrM,D00,Queen's Pawn Game,2
BCxYgTHF,B50,Sicilian Defense,4
JtZ9kUoZ,B27,Sicilian Defense: Katalimov Variation,4
dK4dTh4x,A00,Grob Opening: Spike |  Hurst Attack,5
swthvZx2,C20,King's Pawn Game: Leonardis Variation,3
pTmiFkco,A45,Indian Game,2
dALMKWNB,C20,King's Pawn Game: Leonardis Variation,3
kB1LNBYa,A20,English Opening: King's English Variation,2
Y3lYqFpg,C68,Ruy Lopez: Exchange Variation |  King's Bishop Variation,10
GWwPGZF8,B50,Sicilian Defense,4
32uGmoic,A21,English Opening: King's English Variation |  Reversed Sicilian,3
C97ESP8e,B00,Nimzowitsch Defense: Scandinavian Variation |  Bogoljubov Variation,5
PgBvlQZv,A49,East Indian Defense,4
CUwrwUT4,A00,Van Geet Opening,1
vfqEWqq6,B07,Rat Defense: Harmonist,3
0YSZTeLV,A04,Zukertort Opening: Queen's Gambit Invitation,2
Gauf0qv4,A40,Horwitz Defense,2
7pxOgLRN,B00,Owen Defense,2
iHVUapwj,B20,Sicilian Defense: Bowdler Attack,3
NNhxMy9y,A43,Franco-Benoni Defense,5
Bi95e0bp,C02,French Defense: Advance Variation,8
zw47ZQ14,D05,Colle System #2,7
wYE5TUoj,B90,Sicilian Defense: Najdorf Variation,10
8ON8Ys0C,B50,Sicilian Defense,4
2VJPMUxo,D30,Queen's Gambit Declined,4
E11tE0QG,A00,Hungarian Opening: Slav Formation,4
1nwU4MCj,B00,Nimzowitsch Defense: French Connection,4
p5MRBrYp,D30,Queen's Gambit Declined,4
eE1VF2Jg,B12,Caro-Kann Defense: Advance Variation,5
F0jDYdYz,C10,French Defense: Paulsen Variation,5
FNIcPrg9,C46,Four Knights Game,6
kkgI4HpI,C02,French Defense: Advance Variation |  Main Line,11
5fwMQweZ,A00,Van't Kruijs Opening,1
l1l6yo9n,B54,Sicilian Defense #2,6
qCMjHNFS,B20,Sicilian Defense: Bowdler Attack,3
RFQ6Vnxq,D80,Gruenfeld Defense,6
4d5p029E,E71,King's Indian Defense: Makogonov Variation,9
Hr6k7DMz,D25,Queen's Gambit Accepted: Normal Variation,7
z9OcZ3xh,A25,English Opening: King's English Variation |  Reversed Closed Sicilian,4
nCxn4PeG,A45,Trompowsky Attack: Classical Defense |  Big Center Variation,5
CsdaykT8,B01,Scandinavian Defense: Icelandic-Palme Gambit,6
EmEZrcf9,A28,English Opening: King's English Variation |  Four Knights Variation |  Quiet Line #3,7
oF1WTKaH,B01,Scandinavian Defense: Icelandic-Palme Gambit,6
9mZLxoFs,A21,English Opening: King's English Variation |  Reversed Sicilian,3
bE4FCe6e,B01,Scandinavian Defense: Portuguese Variation,6
qsG3PYc4,A16,English Opening: Anglo-Indian Defense |  Queen's Knight Variation,3
wzE5T6N8,A00,Polish Opening,1
rxyHvfeF,A22,English Opening: Carls-Bremen System,5
V6I4mRCo,A45,Trompowsky Attack: Classical Defense |  Big Center Variation,5
mFSplqq3,A34,English Opening: Symmetrical Variation |  Fianchetto Variation,5
130prvSb,B01,Scandinavian Defense: Icelandic-Palme Gambit,6
9wK8yDCu,A30,English Opening: Symmetrical Variation,2
7L8st4Tq,A23,English Opening: King's English Variation |  Two Knights Variation |  Keres Variation,6
2PWps5wI,A84,Dutch Defense: Rubinstein Variation,5
aOL4pqph,B01,Scandinavian Defense: Portuguese Variation,6
XZC2elB3,B01,Scandinavian Defense: Icelandic-Palme Gambit,6
C1TYwkqE,A36,English Opening: Symmetrical Variation |  Botvinnik System Reversed,10
P9xTcBVO,B01,Scandinavian Defense,2
zpftH4jZ,A10,English Opening: Anglo-Lithuanian Variation,2
b3BQ0H7X,B01,Scandinavian Defense: Portuguese Variation,6
I50d4XHV,B01,Scandinavian Defense: Modern Variation #2,4
CWUiHxhc,E20,Nimzo-Indian Defense,6
nYvt7era,D10,Slav Defense,4
0mqzGpkb,B01,Scandinavian Defense: Modern Variation #2,4
MD8fpziW,B01,Scandinavian Defense: Icelandic-Palme Gambit,6
DHnmPWGM,A22,English Opening: King's English Variation |  Two Knights Variation,4
czOywvDW,B01,Scandinavian Defense,2
zZkZmazG,A10,English Opening: Jaenisch Gambit,2
voMOSzMb,A15,English Opening: Anglo-Indian Defense |  Scandinavian Defense |  Exchange Variation,6
Mc20Q8w8,A22,English Opening: Carls-Bremen System,5
bcqa3b2R,A15,English Opening: Anglo-Indian Defense |  Scandinavian Defense |  Exchange Variation,6
wS3NULPv,A00,Van't Kruijs Opening,1
8DJoBfsk,A10,English Opening: Anglo-Scandinavian Defense,2
DoHfN5KE,B01,Scandinavian Defense,2
HThpCaVo,B01,Scandinavian Defense: Modern Variation #2,4
pTMMZi7b,A36,English Opening: Symmetrical Variation |  Fianchetto Variation,5
6jyCyjRc,B01,Scandinavian Defense: Modern Variation #2,4
V59ZvtRi,E90,King's Indian Defense: Normal Variation |  Rare Defenses,9
RryHsnMl,A46,Torre Attack: Classical Defense |  Nimzowitsch Variation,6
W07W08YK,A21,English Opening: King's English Variation |  Reversed Sicilian,3
ad4zE2ks,A00,Mieses Opening: Reversed Rat,2
PVdRTg9N,E71,King's Indian Defense: Makogonov Variation,9
CdukLaAR,B01,Scandinavian Defense: Portuguese Variation,6
vU3OAf11,A22,English Opening: Carls-Bremen System,5
3AjEi5Vd,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
oPbyfVXB,A82,Dutch Defense: Staunton Gambit Accepted,4
sshqzAiE,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
EEa7eEIh,A84,Dutch Defense: Normal Variation,4
Ww89SSo3,C42,Petrov's Defense #2,5
5vl7n36r,B90,Sicilian Defense: Najdorf Variation,10
rkv8FXzo,C42,Russian Game: Damiano Variation,6
gf3KHIbR,B07,Pirc Defense #4,2
1lbY0vKG,B20,Sicilian Defense: Bowdler Attack,3
JhibfuIR,C00,French Defense: Normal Variation,3
cukIDOqv,A00,Van't Kruijs Opening,1
UrpkJZuC,C45,Scotch Game,7
msTuWC9Y,C45,Scotch Game: Classical Variation,8
gmDPMvzI,B90,Sicilian Defense: Najdorf Variation |  English Attack,11
t6PiRScN,B84,Sicilian Defense: Scheveningen Variation |  Classical Variation,12
kbjOV76G,B33,Sicilian Defense: Lasker-Pelikan Variation |  Retreat Variation,11
WudL02Lu,B50,Sicilian Defense,4
0y4ZTQ2R,B80,Sicilian Defense: Scheveningen Variation |  Vitolins Variation,11
IjnlcR66,B93,Sicilian Defense: Najdorf Variation |  Amsterdam Variation,11
cIKTQHcy,B50,Sicilian Defense,4
49RDuiXg,A40,Queen's Pawn,1
YbunK9Sb,C24,Bishop's Opening: Berlin Defense,4
2vGf9BQ1,C50,Italian Game: Giuoco Pianissimo,7
nygY0ifL,C50,Giuoco Piano,6
Cr05o0f2,C50,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9
zxNAe2Vz,A40,Horwitz Defense,2
c3aTeBza,C50,Italian Game: Giuoco Pianissimo |  Normal,8
NNNhzHrL,C45,Scotch Game: Schmidt Variation,8
wSu7IcAb,C21,King's Pawn Game: Beyer Gambit,4
NAwpyYoU,A40,Modern Defense,2
2DrpOKSC,D08,Queen's Gambit Refused: Albin Countergambit,4
pvY6Cp9r,D00,Queen's Pawn Game: Mason Attack,3
NIJ8yJBV,C20,Bishop's Opening: Boi Variation,4
44bcthDm,A40,Horwitz Defense,2
EoVRFzMJ,A40,Modern Defense,2
HsiY9WRG,C44,King's Knight Opening: Normal Variation,4
LINhFgON,D00,Queen's Pawn Game: Mason Attack,3
I8higi3d,D00,Queen's Pawn Game: Mason Attack,3
JZx2uMY7,D05,Colle System,6
qhmdnEpS,C50,Four Knights Game: Italian Variation,8
Y1fFUYZv,A45,Indian Game,2
rcGZUz6E,D06,Queen's Gambit Refused: Chigorin Defense |  Lazard Gambit,6
svWDHaIb,C44,Ponziani Opening: Jaenisch Counterattack,6
vtW2KfH4,B20,Sicilian Defense: Bowdler Attack,3
xuUH130N,C20,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,4
g018bwEL,D00,Queen's Pawn Game: Mason Attack,3
UdObGz15,C50,Four Knights Game: Italian Variation,8
NckdmPMt,B54,Sicilian Defense #2,6
1DrAVLi9,B50,Sicilian Defense,4
HeSVa0Zd,D00,Queen's Pawn Game: Mason Attack,3
vSVSo632,D00,Queen's Pawn Game: Mason Attack,3
2Rg8tLvx,D00,Queen's Pawn Game: Mason Attack,3
98JGmu7k,A40,Horwitz Defense,2
Lk8RBHQP,A40,Horwitz Defense,2
6TIgcXir,C42,Russian Game: Urusov Gambit,5
TRqq3sqp,B80,Sicilian Defense: Scheveningen Variation,10
0DDBKLQM,D00,Blackmar-Diemer Gambit Declined |  Lamb Defense,8
jX4zmQIo,B50,Sicilian Defense,4
xxunV5BM,D04,Queen's Pawn Game: Colle System,5
NZVLGUDY,A48,London System,5
SuKIs7fh,B23,Sicilian Defense: Closed Variation,3
KRMrSwyO,B21,Sicilian Defense: Smith-Morra Gambit,5
vNss4oSR,B20,Sicilian Defense: Bowdler Attack,3
2l3t8O16,C60,Ruy Lopez: Cozio Defense,6
RHaT7CBo,C55,Italian Game: Anti-Fried Liver Defense,6
vlwaGY7Y,B07,Pirc Defense #3,6
nyeR28YB,B50,Sicilian Defense,4
pTBvi4dV,B29,Sicilian Defense: Nimzowitsch Variation |  Advance Variation,5
urdHwpWQ,A45,Indian Game,2
LCxEXnXb,B54,Sicilian Defense #2,6
27D0qzPo,B21,Sicilian Defense: Smith-Morra Gambit #2,3
UcvMVb7k,B28,Sicilian Defense: O'Kelly Variation,4
QzketAvD,B02,Alekhine Defense: Normal Variation,4
C3aU6UhF,B54,Sicilian Defense,5
bfk0vKO3,B51,Sicilian Defense: Canal-Sokolsky Attack,5
KEGVaZHV,A06,Reti Opening,2
gGyaEaTV,B20,Sicilian Defense,2
PnTM9axT,B20,Sicilian Defense: Bowdler Attack,3
fkwF7n9T,B51,Sicilian Defense: Canal-Sokolsky Attack,5
pSONBKuw,A45,Trompowsky Attack,3
5WhYODHf,B40,Sicilian Defense: Marshall Counterattack,6
C7eWcFiU,B20,Sicilian Defense: Bowdler Attack,3
aC4zoSmn,C20,King's Pawn Game: Macleod Attack,3
zMFTblTj,B30,Sicilian Defense: Old Sicilian,4
fFdaMLmf,C40,King's Pawn Game: Damiano Defense,4
yvqdybCS,A45,Paleface Attack,3
E9AHLJi2,A00,Van't Kruijs Opening,1
aIWXy0Ix,B22,Sicilian Defense: Alapin Variation,3
rnwCKW3f,B20,Sicilian Defense: Bowdler Attack,3
Sc1o7fpl,B33,Sicilian Defense: Lasker-Pelikan Variation,10
ib0LWjgO,A20,English Opening: King's English Variation,2
AuttW335,B20,Sicilian Defense,2
mIgTK3WY,A45,Indian Game,2
aPDrw3Ud,A00,Hungarian Opening,1
mVQaOwE8,B51,Sicilian Defense: Canal-Sokolsky Attack,5
bXHqvXzW,A00,Saragossa Opening,1
vUZJrIpm,C48,Four Knights Game: Spanish Variation |  Rubinstein Variation Accepted,9
6iuCKSvN,A00,Hungarian Opening,1
VAv9fI88,B22,Sicilian Defense: Alapin Variation,3
ENVY6yGB,B34,Sicilian Defense: Accelerated Dragon |  Modern Variation,9
mfuMA9Xp,C41,Philidor Defense,5
ETfiuRND,A06,Zukertort Opening: Tennison Gambit,3
FxmBHnIl,C00,French Defense: Knight Variation,3
CSIzom5k,C41,Philidor Defense #3,5
U2BBhxU4,D01,Queen's Pawn Game: Veresov Attack |  Classical Defense,7
UsTDuzMy,A04,Zukertort Opening: Kingside Fianchetto,2
453ht5h5,C34,King's Gambit Accepted |  King's Knight Gambit,5
gQ5c7uFl,C41,Philidor Defense,5
btr3LBHj,C41,Philidor Defense,5
CgySa327,A06,Zukertort Opening: Tennison Gambit,3
yEUeZ9ht,A06,Zukertort Opening: Tennison Gambit,3
n8x24EDh,A06,Zukertort Opening: Tennison Gambit,3
vtAS8qss,C41,Philidor Defense #3,5
LOmUjF0f,A04,Zukertort Opening: Polish Defense,2
3DCt0xRQ,A10,English Opening,1
DwCvxi11,B30,Sicilian Defense: Old Sicilian,4
GK8Sbc80,C41,Philidor Defense #3,5
sqRtMHxF,C41,Philidor Defense #3,5
hJphPTKE,C41,Philidor Defense,5
jqQghqvX,A06,Zukertort Opening: Tennison Gambit,3
ARmMV1CE,C41,Philidor Defense,5
GWsNihR6,C00,Rat Defense: Small Center Defense,4
EbDAC4Vx,A04,Reti Opening #2,2
M01xj3cN,C41,Philidor Defense #3,5
SDCLBYeF,C00,French Defense: La Bourdonnais Variation,3
Z0vlx5TV,C00,French Defense: La Bourdonnais Variation,3
uEA1feZz,A04,Zukertort Opening: Sicilian Invitation,2
fzJoZEgf,B10,Caro-Kann Defense: Accelerated Panov Attack |  Open Variation,4
U5SiENhh,A06,Zukertort Opening: Tennison Gambit,3
RPP0aiwY,A06,Zukertort Opening: Tennison Gambit,3
OT2cFkI4,A04,Zukertort Opening: Lisitsyn Gambit,3
sd4VZgT6,A04,Zukertort Opening: Ross Gambit,2
Et6FETNL,C27,Vienna Game,3
P0IuhZ0D,C41,Philidor Defense #2,4
XHFt54H2,A41,Queen's Pawn Game: Anglo-Slav Opening,4
dvaOpBf7,A04,Zukertort Opening: Lisitsyn Gambit,3
32HAoHnN,A41,Queen's Pawn,2
oYrblxoT,A41,Old Indian Defense,3
Ri2j8Grp,A06,Zukertort Opening: Tennison Gambit,3
4VMOdzLc,D00,Queen's Pawn Game #2,3
dwD6nALp,D20,Queen's Gambit Accepted: Old Variation,5
Sa75TQlB,C46,Three Knights Opening,5
2L61S7HF,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
lNjpZ80C,D02,Queen's Pawn Game: Zukertort Variation,3
2XcjLTLQ,A00,Van Geet Opening: Dunst-Perrenet Gambit,5
1p0feC4C,C00,Queen's Pawn Game: Franco-Sicilian Defense,4
oTQyUfti,D35,Queen's Gambit Declined: Normal Defense,6
VBc55ZZi,C61,Ruy Lopez: Bird Variation,6
sAPXqdlz,C46,Four Knights Game: Italian Variation,7
Y9ZuB73w,C60,Ruy Lopez: Cozio Defense,6
GNMlLxOf,B02,Alekhine Defense: Normal Variation,4
UZSvwdiU,D00,Queen's Pawn Game #3,4
IZMTlSvo,B00,St. George Defense,2
q8AKR7Og,B01,Scandinavian Defense,2
U5Hw7Zdu,B07,Pirc Defense #5,3
C90Bcc1i,D12,Slav Defense: Quiet Variation |  Pin Defense,8
iwzSRzJc,B07,Pirc Defense: Classical Variation #2,7
mkMoAjHf,A41,Queen's Pawn,2
xUtDfXeF,B12,Caro-Kann Defense: Advance Variation,5
Bv9YNC0E,A41,Queen's Pawn,2
vP1D6cZF,B21,Sicilian Defense: Smith-Morra Gambit #2,3
yzuSgZw2,B07,Pirc Defense #5,3
XD55qO9Z,C44,Scotch Game,5
W9iGz0nU,B10,Caro-Kann Defense,2
W4TUkodv,A40,Queen's Pawn,1
wYb2JaHT,A40,Queen's Pawn,1
sk49Rjf7,B07,Pirc Defense #4,2
9OVNQcwG,C41,Philidor Defense,5
hrm7OQKk,C45,Scotch Game: Fraser Variation,9
UdvXLd3O,A41,Old Indian Defense,3
n9XZA2TC,C41,Philidor Defense,5
mnTiZGBX,B07,Rat Defense: Accelerated Gurgenidze,6
KOgaXOnd,C00,French Defense: Knight Variation,3
3QFGC705,C45,Scotch Game,7
QKTR98Po,C41,Philidor Defense #2,4
KmVQ0FmU,B07,Pirc Defense #4,2
6g8kXohd,B00,King's Pawn Game: Nimzowitsch Defense,3
OcUlZ1e9,B06,Modern Defense: Two Knights Variation |  Suttles Variation,8
ygzhd5rG,C41,Philidor Defense,5
nZN7jL4H,B12,Caro-Kann Defense,3
2sci7B5D,A00,Saragossa Opening,1
bK35FyCn,C00,French Defense: Normal Variation,3
0EkdWvqZ,B07,Pirc Defense #4,2
wcVLFOd0,B01,Scandinavian Defense: Boehnke Gambit,6
iiBFxoUP,C41,Philidor Defense,5
wH3HdNt3,B10,Caro-Kann Defense: Two Knights Attack,5
9QExuXjM,B06,Modern Defense,2
nzaO64Gh,A41,Queen's Pawn,2
fGDDSEDW,C44,Scotch Game,5
1uGNsd5F,C44,Scotch Game,5
B9edNYCM,B07,Pirc Defense #4,2
PpevQcxE,B07,Pirc Defense #4,2
ouOIGduL,C45,Scotch Game: Schmidt Variation,8
Z9uKiTM9,B07,Pirc Defense #5,3
RCIooR56,C40,Latvian Gambit: Mason Countergambit,5
zpysQ7im,C21,Center Game #2,3
clQwRf5k,B01,Scandinavian Defense,2
7ucvEF3N,C26,Bishop's Opening: Vienna Hybrid |  Spielmann Attack,7
qPhzgCHc,A46,Indian Game: London System,5
Bxk2Cw3t,A06,Zukertort Opening: Tennison Gambit,3
Iz4kCsaW,B08,Pirc Defense: Classical Variation |  Schlechter Variation,9
4gWJqKH8,C41,Philidor Defense: Exchange Variation #2,7
FOZbYGaE,C50,Four Knights Game: Italian Variation,8
KLvtpm3B,C41,Philidor Defense #2,4
yhYumRBx,C38,King's Gambit Accepted |  Greco Gambit,12
PN5Visk9,B10,Caro-Kann Defense,2
K0EFJITn,A46,Yusupov-Rubinstein System,5
cN0V36CF,A15,English Opening: Anglo-Indian Defense |  Queen's Indian Formation,4
jhHWJ8FZ,D00,Queen's Pawn Game: Mason Attack,3
l5AYZJiC,A46,Indian Game: London System,5
pbHf04ih,D02,Queen's Pawn Game: Symmetrical Variation,4
17JLFc6V,D24,Queen's Gambit Accepted: Showalter Variation,7
AZQS1PsZ,C23,Bishop's Opening,3
YG3EekvM,C27,Vienna Game,3
kEzadLUL,B20,Sicilian Defense: Bowdler Attack,3
2mGNpoRG,B03,Alekhine Defense: Four Pawns Attack |  Trifunovic Variation,10
4NNYXtev,B07,Pirc Defense #4,2
Q7T4S4nH,C40,King's Knight Opening,3
XBodbP8L,C41,Philidor Defense: Exchange Variation #2,7
7KsTGv60,C41,Philidor Defense #2,4
Oq3FcG16,C22,Center Game: Normal Variation,6
WnyCUnCz,C20,King's Pawn Game: Leonardis Variation,3
1G1hMvgb,C42,Petrov's Defense,4
AOQg4xfm,C02,French Defense: Advance Variation #3,5
WVpipRhP,B20,Sicilian Defense,2
B7WFGkGD,B13,Caro-Kann Defense: Exchange Variation,5
JUAvhgaq,C44,Ponziani Opening,5
sRyFXHJR,C46,Four Knights Game: Italian Variation,7
6UP215gl,C44,Ponziani Opening,5
wmNLYhxS,B50,Sicilian Defense,4
z3JaisFJ,B20,Sicilian Defense,2
1ev76cYV,A00,Mieses Opening,1
yUvdVC3O,B06,Modern Defense: Three Pawns Attack,5
iixJAorm,A00,Hungarian Opening: Slav Formation,4
rWqdtETT,B00,Borg Defense,2
OSdvG7X4,A00,Hungarian Opening: Catalan Formation,4
2joKuwky,A40,Modern Defense,2
SJQg5wKh,A00,Hungarian Opening,1
9yyVbHP9,A00,Van't Kruijs Opening,1
uL76LCY6,A00,Hungarian Opening: Symmetrical Variation,2
Pxeks6Ub,A49,Zukertort Opening: Double Fianchetto Attack,11
5mcT7cHA,B06,Modern Defense: Two Knights Variation,7
G27XGIPw,A00,Hungarian Opening,1
DA0pBJVt,A00,Hungarian Opening,1
HT9jGdjU,A00,Hungarian Opening,1
y65ilxPM,A00,Hungarian Opening,1
GX8ODXpA,B06,Modern Defense,2
UKz2mznE,A00,Hungarian Opening,1
WSDMp2tP,C00,French Defense: Knight Variation,3
Tez3imrA,A00,Van't Kruijs Opening,1
YLKnQz8e,B07,Pirc Defense #5,3
dqX2z2NQ,C43,Petrov: Modern Attack,6
sOUvxrre,C62,Ruy Lopez: Steinitz Defense |  Nimzowitsch Attack,11
TXZnZt2B,C69,Ruy Lopez: Exchange Variation |  Gligoric Variation,10
psks6Oqx,C55,Italian Game: Two Knights Defense,6
qApxSgFL,B00,Owen Defense,2
3DpN699D,C78,Ruy Lopez: Morphy Defense,9
05yEsA2X,B32,Sicilian Defense: Flohr Variation,8
oHA26DEY,B96,Sicilian Defense: Najdorf Variation,13
7C0pu0bM,C60,Ruy Lopez: Cozio Defense,6
WdGWYMpG,C20,King's Pawn Game: Wayward Queen Attack,3
7lQl1pLL,C45,Scotch Game: Schmidt Variation,8
m2VMqNxl,C72,Ruy Lopez: Morphy Defense |  Modern Steinitz Defense,9
9NOjSBCT,C91,Ruy Lopez: Closed Variations |  Yates Variation |  Short Attack,19
zgeFBhrc,D06,Queen's Gambit Refused: Marshall Defense,4
IxrGTHy1,C11,French Defense: Burn Variation,7
gzEgrUKO,C58,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line,11
nwbun3Jw,C55,Italian Game: Scotch Gambit |  de Riviere Defense,10
0WMiQL4a,C46,Four Knights Game: Italian Variation,7
RwKpsH9y,B43,Sicilian Defense: Kan Variation |  Wing Attack,10
L5kXOMi3,C78,Ruy Lopez: Closed Variations |  Martinez Variation,11
UByusFX4,D04,Queen's Pawn Game: Colle System,5
gUmnDSwx,B32,Sicilian Defense: Flohr Variation,8
KoF76pFq,C41,Philidor Defense,5
S25mmjLL,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
ePXCD390,C71,Ruy Lopez: Noah's Ark Trap,16
xMS1jleV,C47,Four Knights Game: Scotch Variation Accepted,8
e6445o0w,C81,Ruy Lopez: Open Variations |  Howell Attack #2,17
jXJlViKg,C46,Four Knights Game: Italian Variation,7
w7sl8w3S,D85,Gruenfeld Defense: Exchange Variation,8
iKT0TtWr,C41,Philidor Defense: Exchange Variation,8
H3kJWvTz,C45,Scotch Game,7
mrygvdDw,C33,King's Gambit Accepted |  Bishop's Gambit |  Bogoljubov Variation,7
aureDRCW,D06,Queen's Gambit Refused: Marshall Defense,4
1XV6WCtF,C77,Ruy Lopez: Morphy Defense |  Tarrasch Variation,9
1eoeDhl1,C45,Scotch Game: Haxo Gambit,8
sjJXBh9q,B01,Scandinavian Defense: Anderssen Counterattack |  Goteborg System,9
lJ77EG2g,C46,Four Knights Game: Italian Variation,7
RnUg9lNl,C92,Ruy Lopez: Closed Variations |  Flohr System,18
ACpPb5Ib,C60,Ruy Lopez: Fianchetto Defense,6
sUDxproI,C88,Ruy Lopez: Closed,13
Ynkys6V3,E70,King's Indian Defense: Normal Variation,7
eo3Vnld8,C60,Ruy Lopez,5
gxG8xX0g,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
CkIKEiO5,B07,Pirc Defense #5,3
byHkZVFi,C68,Ruy Lopez: Exchange Variation,7
JLxVM7YF,D90,Gruenfeld Defense: Three Knights Variation #2,7
WBgCVveR,C41,Philidor Defense: Exchange Variation #2,7
TMeWFCLt,C00,French Defense #2,2
QysOsL9N,A00,Van Geet Opening: Sicilian Two Knights,7
u88kT8Dm,A30,English Opening: Symmetrical Variation,2
rBrVmnev,A02,Bird Opening,1
vJYbmByx,B01,Scandinavian Defense,2
WnnaCfWu,C20,King's Pawn Game: Macleod Attack,3
uqveYMiO,B10,Caro-Kann Defense,2
DTSZIvdP,A41,Queen's Pawn,2
UtgxJp5p,C30,King's Gambit,3
2Xl2plkX,C02,French Defense: Advance Variation #4,6
s0oxkzeq,C02,French Defense: Advance Variation #2,7
FEgZmqD5,C41,Philidor Defense #2,4
vOhKxAjo,C42,Russian Game: Urusov Gambit,5
ySB5GooP,D00,Queen's Pawn Game,2
Ff3lRupy,B23,Sicilian Defense: Closed Variation,3
rk4f02Ey,B23,Sicilian Defense: Closed Variation,3
pjke10PB,B51,Sicilian Defense: Canal-Sokolsky Attack,5
Z1itK2fZ,A00,Sodium Attack,1
7CkoT5ea,B54,Sicilian Defense #2,6
H2kbnMj9,A45,Indian Game,2
X5qppUyl,A45,Indian Game,2
M5gKgZE9,B00,Ware Defense,2
NOqYRjIX,B12,Caro-Kann Defense: Advance Variation,5
0YtMmCrd,D92,Gruenfeld Defense: Three Knights Variation |  Hungarian Attack,9
ONUQ8gPQ,A40,Queen's Pawn,1
G6VKivDE,D10,Slav Defense #2,5
OvpzATGs,C21,Center Game #2,3
VoFu0pRq,A45,Indian Game,2
rDb9TFiX,D10,Slav Defense: Exchange Variation,5
JnoltEDM,D30,Queen's Gambit Declined,4
6FbtL1V5,D11,Slav Defense: Modern Line,5
tZiBvPYz,E60,King's Indian Defense: Normal Variation |  King's Knight Variation,5
WzPl2j8p,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
gyAWeakV,B13,Caro-Kann Defense: Exchange Variation,5
kLQdMwN1,A40,Queen's Pawn,1
S5hniAGK,D31,Queen's Gambit Declined: Charousek (Petrosian) Variation,6
2pc5FX1T,A40,English Defense,4
oIuR15SF,A00,Van't Kruijs Opening,1
S3DTELFP,E00,Indian Game: East Indian Defense,4
yqbT5neO,B12,Caro-Kann Defense: Advance Variation,5
